t_s,other_actor_id,impulse_x,impulse_y,impulse_z,impulse_magnitude,impulse_horizontal,over_threshold
1789401002.599,0,-0.5826,-3.6193,267.9557,267.9808,3.6659,0
1789401002.665,0,-0.0089,-0.0557,4.2088,4.2092,0.0564,0
1789401002.698,0,-0.0037,-0.0229,1.7323,1.7325,0.0232,0
1789401002.731,0,-0.0086,-0.0541,4.0843,4.0846,0.0547,0
1789401002.764,0,-0.0055,-0.0344,2.6014,2.6016,0.0349,0
1789401002.797,0,-0.0066,-0.0412,3.1130,3.1133,0.0417,0
1789401002.830,0,-0.0146,-0.0911,6.8809,6.8815,0.0922,0
1789401002.863,0,-0.0154,-0.0960,7.2529,7.2536,0.0972,0
1789401002.896,0,-0.0172,-0.1077,8.1390,8.1398,0.1091,0
1789401002.929,0,-0.0170,-0.1063,8.0349,8.0356,0.1077,0
1789401002.962,0,-0.0132,-0.0823,6.2213,6.2219,0.0834,0
1789401002.995,0,-0.0161,-0.1006,7.5990,7.5997,0.1019,0
1789401003.028,0,-0.0149,-0.0934,7.0572,7.0579,0.0946,0
1789401003.061,0,-0.0160,-0.1003,7.5784,7.5791,0.1016,0
1789401003.094,0,-0.0145,-0.0904,6.8267,6.8273,0.0915,0
1789401003.127,0,-0.0136,-0.0850,6.4196,6.4202,0.0860,0
1789401003.160,0,-0.0097,-0.0605,4.5748,4.5752,0.0613,0
1789401003.292,0,-0.1546,-0.9603,71.0945,71.1011,0.9726,0
